customer_id_old,source_id_old,customer_id_new,source_id_new
cus_Td6cvAkQ0xqQgj,,cus_Td6cvAkQ0xqQgj,
cus_Tczc77pd7l5Ay4,,cus_Tczc77pd7l5Ay4,
cus_U42EFS9jvZb2qj,card_1T5uALG169MUOFIqQlaWSiU4,cus_U42EFS9jvZb2qj,card_1TGpnBLfpHJZVq4I7qrGM5h6
cus_TOqh2L0mseNObn,card_1SsriEG169MUOFIqWu5nztWF,cus_TOqh2L0mseNObn,card_1TGpnALfpHJZVq4IHxAHNyeb
cus_TmRR75IBDTbMSw,card_1SqLc4G169MUOFIq9T8wheFf,cus_TmRR75IBDTbMSw,card_1TGpn9LfpHJZVq4IQSEFjhHz
cus_TJem6sgtflxosb,pm_1SN1T3G169MUOFIqpwKBiQq0,cus_TJem6sgtflxosb,pm_1TGpn9LfpHJZVq4I4DICPlO5
cus_UDsBSV9fB3fymQ,pm_1TFmeLG169MUOFIqpWcR2WZn,cus_UDsBSV9fB3fymQ,pm_1TGpn8LfpHJZVq4IPZzYXCkN
cus_TauJGWSyTykboI,card_1SdiVCG169MUOFIq0yNeYTQc,cus_TauJGWSyTykboI,card_1TGpn7LfpHJZVq4IwVgAtikF
cus_TWfwkic9qQ5URW,pm_1SZcaiG169MUOFIqgNEn6W78,cus_TWfwkic9qQ5URW,pm_1TGpn6LfpHJZVq4IYr6HPGIn
cus_TqbvOzWOkNaIci,card_1T9ZrpG169MUOFIqoeNXzRpB,cus_TqbvOzWOkNaIci,card_1TGpn6LfpHJZVq4IVpp5ukiW
cus_U6xMq5GWkm1KC9,pm_1T8jSaG169MUOFIqkj8v54H2,cus_U6xMq5GWkm1KC9,pm_1TGpn5LfpHJZVq4IFcsOgsZR
cus_Ta4fVOpa2tcGy6,pm_1ScuWaG169MUOFIq2IVqoZhc,cus_Ta4fVOpa2tcGy6,pm_1TGpn4LfpHJZVq4IJ0zUwVjX
cus_TORIIQnpFActgE,card_1SRePmG169MUOFIqjk9pOlrC,cus_TORIIQnpFActgE,card_1TGpn3LfpHJZVq4IBk96BTBW
cus_UA1Jd3B78l63DY,card_1TBhGqG169MUOFIqFcWAdCF0,cus_UA1Jd3B78l63DY,card_1TGpn3LfpHJZVq4IyxcdrxRZ
cus_TzWaGUBAyqOFHh,pm_1T1XY9G169MUOFIqiA0rDhHE,cus_TzWaGUBAyqOFHh,pm_1TGpn2LfpHJZVq4IYYooXyRR
cus_Tsq226yZlQ9S3z,card_1Sv4NtG169MUOFIqzxFMaNv5,cus_Tsq226yZlQ9S3z,card_1TGpn1LfpHJZVq4IOnoCwDdO
cus_Tm3PcLJubqSe5Y,pm_1SoVK9G169MUOFIqrA09OcWP,cus_Tm3PcLJubqSe5Y,pm_1TGpn1LfpHJZVq4IEWpTsQja
cus_TZJzG4RqqWQBeO,card_1ScBL9G169MUOFIqGt3Hna0U,cus_TZJzG4RqqWQBeO,card_1TGpn0LfpHJZVq4IVktxuS2s
cus_TTSaPmGtUncwF2,pm_1SWVfyG169MUOFIq5yNQcDFQ,cus_TTSaPmGtUncwF2,pm_1TGpmzLfpHJZVq4IwzstRZak
cus_TQO1mFcocmJh4j,pm_1STXGcG169MUOFIq6rkSTAKk,cus_TQO1mFcocmJh4j,pm_1TGpmyLfpHJZVq4IwpJCl96J
cus_TPKWHzd4p2P5xC,pm_1SSVsUG169MUOFIq301RKj8y,cus_TPKWHzd4p2P5xC,pm_1TGpmyLfpHJZVq4IG14G01rI
cus_TMGHY0WGnADZQ2,pm_1SPXmjG169MUOFIqxcV9PMom,cus_TMGHY0WGnADZQ2,pm_1TGpmxLfpHJZVq4I9rx2ugdv
